06, 76666666666, 203, 70, 8
02, 2023/01/08 06:33:16, 2023/01/08 07:15:47, 42, 5
02, 2023/01/05 03:26:41, 2023/01/05 04:04:45, 38, 5
01, 2023/01/01 00:25:44, 2023/01/01 00:48:47, 23, 20
02, 2023/01/29 18:34:30, 2023/01/29 18:43:49, 9, 5
02, 2023/01/23 01:04:52, 2023/01/23 01:37:49, 32, 5
02, 2023/01/25 09:52:09, 2023/01/25 10:39:21, 47, 5
02, 2023/01/30 22:47:27, 2023/01/30 22:59:22, 11, 5
01, 2023/01/12 17:53:21, 2023/01/12 17:54:47, 1, 20
04, 74444444444, 425, 145, 14
02, 2023/01/26 16:08:14, 2023/01/26 16:24:16, 16, 5
02, 2023/01/16 01:39:12, 2023/01/16 02:19:27, 40, 5
02, 2023/01/30 21:45:48, 2023/01/30 21:47:25, 1, 5
02, 2023/01/10 18:06:36, 2023/01/10 18:28:32, 21, 5
01, 2023/01/12 09:34:50, 2023/01/12 10:23:15, 48, 20
02, 2023/01/06 16:48:27, 2023/01/06 17:45:56, 57, 5
01, 2023/01/13 03:49:57, 2023/01/13 03:50:12, 0, 20
02, 2023/01/20 06:58:32, 2023/01/20 07:45:35, 47, 5
02, 2023/01/10 23:16:08, 2023/01/10 23:31:01, 14, 5
02, 2023/01/21 16:28:30, 2023/01/21 17:18:02, 49, 5
02, 2023/01/15 13:28:34, 2023/01/15 13:45:29, 16, 5
01, 2023/01/01 13:26:54, 2023/01/01 14:04:12, 37, 20
01, 2023/01/03 20:48:25, 2023/01/03 21:46:15, 57, 20
01, 2023/01/19 06:30:20, 2023/01/19 06:53:09, 22, 20
02, 72222222222, 283, 155, 10
01, 2023/01/03 17:10:00, 2023/01/03 18:03:03, 53, 20
02, 2023/01/12 04:33:23, 2023/01/12 04:52:01, 18, 5
01, 2023/01/04 12:02:55, 2023/01/04 12:52:18, 49, 20
02, 2023/01/21 08:47:08, 2023/01/21 08:50:39, 3, 5
01, 2023/01/17 18:01:39, 2023/01/17 18:23:20, 21, 20
01, 2023/01/01 01:03:39, 2023/01/01 01:11:15, 7, 20
01, 2023/01/08 05:58:47, 2023/01/08 06:31:17, 32, 20
02, 2023/01/13 14:17:31, 2023/01/13 14:55:34, 38, 5
01, 2023/01/20 05:56:50, 2023/01/20 06:32:43, 35, 20
01, 2023/01/23 15:54:26, 2023/01/23 16:21:48, 27, 20
01, 77777777777, 419, 145, 14
01, 2023/01/17 21:04:51, 2023/01/17 21:43:57, 39, 20
02, 2023/01/28 10:44:25, 2023/01/28 11:09:36, 25, 5
02, 2023/01/06 22:27:53, 2023/01/06 22:51:02, 23, 5
02, 2023/01/18 07:14:59, 2023/01/18 07:53:18, 38, 5
02, 2023/01/11 02:04:28, 2023/01/11 02:29:21, 24, 5
02, 2023/01/01 06:27:23, 2023/01/01 07:09:09, 41, 5
02, 2023/01/30 06:36:55, 2023/01/30 07:32:46, 55, 5
01, 2023/01/22 16:00:42, 2023/01/22 16:39:34, 38, 20
02, 2023/01/17 16:53:07, 2023/01/17 17:34:10, 41, 5
02, 2023/01/28 14:45:12, 2023/01/28 14:45:22, 0, 5
02, 2023/01/12 01:20:12, 2023/01/12 02:13:40, 53, 5
01, 2023/01/01 16:07:51, 2023/01/01 16:24:41, 16, 20
01, 2023/01/26 01:40:24, 2023/01/26 01:52:13, 11, 20
01, 2023/01/11 20:07:47, 2023/01/11 20:23:14, 15, 20
05, 75555555555, 427, 130, 14
02, 2023/01/16 16:44:18, 2023/01/16 17:17:33, 33, 5
02, 2023/01/11 01:14:34, 2023/01/11 01:49:51, 35, 5
02, 2023/01/25 09:28:43, 2023/01/25 10:16:15, 47, 5
02, 2023/01/28 16:06:44, 2023/01/28 16:17:51, 11, 5
01, 2023/01/19 09:50:58, 2023/01/19 09:59:07, 8, 20
02, 2023/01/11 04:53:03, 2023/01/11 05:35:26, 42, 5
01, 2023/01/11 17:03:03, 2023/01/11 17:14:14, 11, 20
01, 2023/01/26 21:28:35, 2023/01/26 21:43:19, 14, 20
02, 2023/01/08 11:13:39, 2023/01/08 11:56:20, 42, 5
02, 2023/01/14 20:32:45, 2023/01/14 20:43:24, 10, 5
01, 2023/01/10 04:54:06, 2023/01/10 05:45:51, 51, 20
02, 2023/01/21 15:55:19, 2023/01/21 16:55:13, 59, 5
02, 2023/01/08 02:30:23, 2023/01/08 02:59:17, 28, 5
02, 2023/01/28 03:49:15, 2023/01/28 04:25:42, 36, 5
03, 73333333333, 355, 130, 11
02, 2023/01/06 23:04:51, 2023/01/06 23:49:07, 44, 5
02, 2023/01/23 15:56:55, 2023/01/23 16:06:30, 9, 5
01, 2023/01/02 04:51:43, 2023/01/02 05:30:40, 38, 20
01, 2023/01/21 08:44:18, 2023/01/21 09:24:20, 40, 20
02, 2023/01/08 00:13:25, 2023/01/08 00:18:18, 4, 5
02, 2023/01/30 01:07:27, 2023/01/30 01:23:04, 15, 5
02, 2023/01/23 06:43:12, 2023/01/23 07:09:29, 26, 5
01, 2023/01/01 16:58:01, 2023/01/01 17:34:24, 36, 20
01, 2023/01/04 20:19:37, 2023/01/04 21:17:58, 58, 20
02, 2023/01/25 15:39:41, 2023/01/25 16:05:41, 26, 5
01, 2023/01/09 10:47:17, 2023/01/09 11:46:25, 59, 20
01, 71111111111, 161, 65, 7
01, 2023/01/02 13:07:02, 2023/01/02 14:02:05, 55, 20
02, 2023/01/05 15:29:29, 2023/01/05 16:00:17, 30, 5
02, 2023/01/05 22:42:32, 2023/01/05 23:15:37, 33, 5
02, 2023/01/02 00:40:15, 2023/01/02 00:43:15, 3, 5
02, 2023/01/29 05:34:56, 2023/01/29 05:59:02, 24, 5
01, 2023/01/01 01:01:09, 2023/01/01 01:16:14, 15, 20
02, 2023/01/26 11:19:31, 2023/01/26 11:20:48, 1, 5
